date,Time,magnitude,zone,description
8/23/2024,11:38,2,BANAT TIMIS,
8/23/2024,6:22,2.3,BANAT ARAD,
8/23/2024,4:40,2,BANAT TIMIS,
8/22/2024,20:15,2.5,ZONA SEISMICA VRANCEA VRANCEA,
8/22/2024,18:58,2,BANAT TIMIS,
8/22/2024,17:00,3.3,BANAT TIMIS,
8/20/2024,4:12,2.3,ZONA SEISMICA VRANCEA VRANCEA,
8/19/2024,18:01,2.4,BANAT ARAD,
8/17/2024,20:05,2.3,BANAT TIMIS,
8/16/2024,15:38,2.6,ZONA SEISMICA VRANCEA VRANCEA,
8/15/2024,18:00,2.9,ZONA SEISMICA VRANCEA VRANCEA,
8/15/2024,16:46,2.1,ZONA SEISMICA VRANCEA VRANCEA,
8/15/2024,14:21,2.4,MOLDOVA GALATI,
8/13/2024,13:46,2.4,BANAT ARAD,
8/12/2024,18:34,2.4,OLTENIA GORJ,
8/11/2024,13:05,2.8,ZONA SEISMICA VRANCEA BUZAU,
8/11/2024,2:12,2.3,ZONA SEISMICA VRANCEA VRANCEA,
8/10/2024,23:46,4.7,BANAT ARAD,
8/10/2024,13:58,2.6,ZONA SEISMICA VRANCEA BUZAU,
8/10/2024,2:31,2.4,ZONA SEISMICA VRANCEA VRANCEA,
8/9/2024,5:41,2.9,MUNTENIA PRAHOVA,
8/9/2024,4:37,2.9,ZONA SEISMICA VRANCEA VRANCEA,
8/9/2024,1:45,2.5,ZONA SEISMICA VRANCEA VRANCEA,
8/7/2024,7:08,2.7,ZONA SEISMICA VRANCEA VRANCEA,
8/6/2024,20:56,2.8,ZONA SEISMICA VRANCEA VRANCEA,
8/6/2024,16:04,4.1,ZONA SEISMICA VRANCEA VRANCEA,
8/4/2024,16:40,3,ZONA SEISMICA VRANCEA BUZAU,
8/2/2024,9:15,3.1,ZONA SEISMICA VRANCEA BUZAU,
8/1/2024,15:09,4.5,ZONA SEISMICA VRANCEA VRANCEA,
7/29/2024,17:44,2.5,ZONA SEISMICA VRANCEA BUZAU,
7/29/2024,5:22,2,MOLDOVA GALATI,
7/29/2024,0:46,2.6,ZONA SEISMICA VRANCEA BUZAU,
7/27/2024,8:55,2.9,ZONA SEISMICA VRANCEA PRAHOVA,
7/26/2024,20:18,2.4,ZONA SEISMICA VRANCEA BUZAU,
7/25/2024,3:22,2.4,ZONA SEISMICA VRANCEA BUZAU,
7/23/2024,5:02,2.7,ZONA SEISMICA VRANCEA VRANCEA,
7/23/2024,1:28,2.3,ZONA SEISMICA VRANCEA VRANCEA,
7/17/2024,10:13,2.7,ZONA SEISMICA VRANCEA VRANCEA,
7/17/2024,6:17,2.5,ZONA SEISMICA VRANCEA BUZAU,
7/15/2024,10:15,3.2,ZONA SEISMICA VRANCEA VRANCEA,
7/14/2024,3:22,2.5,ZONA SEISMICA VRANCEA VRANCEA,
7/13/2024,6:48,2.2,OLTENIA GORJ,
7/13/2024,3:06,2.3,ZONA SEISMICA VRANCEA BUZAU,
