date,Time,magnitude,zone,description
9/20/2023,19:51,2.1,OLTENIA GORJ,
9/20/2023,5:44,3.1,ZONA SEISMICA VRANCEA VRANCEA,
9/20/2023,5:37,3.1,ZONA SEISMICA VRANCEA BUZAU,
9/20/2023,2:04,2.1,ZONA SEISMICA VRANCEA BUZAU,
9/17/2023,21:54,3,ZONA SEISMICA VRANCEA VRANCEA,
9/16/2023,9:16,4.2,ZONA SEISMICA VRANCEA BUZAU,
9/16/2023,6:56,2.1,ZONA SEISMICA VRANCEA VRANCEA,
9/15/2023,18:30,2.6,ZONA SEISMICA VRANCEA VRANCEA,
9/15/2023,12:15,2,TRANSILVANIA BRASOV,
9/15/2023,3:05,2.7,ZONA SEISMICA VRANCEA VRANCEA,
9/15/2023,3:03,2.8,ZONA SEISMICA VRANCEA VRANCEA,
9/14/2023,20:55,3.1,ZONA SEISMICA VRANCEA VRANCEA,
9/12/2023,18:36,3.4,OLTENIA GORJ,
9/11/2023,19:40,2.9,ZONA SEISMICA VRANCEA VRANCEA,
9/9/2023,23:17,2.7,ZONA SEISMICA VRANCEA VRANCEA,
9/8/2023,20:55,3.8,ZONA SEISMICA VRANCEA VRANCEA,
9/8/2023,14:16,2.4,ZONA SEISMICA VRANCEA VRANCEA,
9/6/2023,2:46,2.9,ZONA SEISMICA VRANCEA BUZAU,
9/4/2023,3:54,2.2,MUNTENIA BUZAU,
9/3/2023,3:43,2.3,MUNTENIA BRAILA,
8/31/2023,22:07,2.3,OLTENIA GORJ,
8/31/2023,21:53,3.2,ZONA SEISMICA VRANCEA BUZAU,
8/31/2023,7:50,2.9,ZONA SEISMICA VRANCEA BUZAU,
8/30/2023,20:57,2.4,ZONA SEISMICA VRANCEA COVASNA,
8/30/2023,11:32,2.4,OLTENIA GORJ,
8/29/2023,22:50,2.8,ZONA SEISMICA VRANCEA VRANCEA,
8/29/2023,12:51,2.3,OLTENIA GORJ,
8/28/2023,18:34,2.9,OLTENIA GORJ,
8/28/2023,8:36,2.2,OLTENIA GORJ,
8/27/2023,18:05,2.8,ZONA SEISMICA VRANCEA BUZAU,
8/27/2023,6:00,2.2,OLTENIA GORJ,
8/27/2023,2:07,3.1,ZONA SEISMICA VRANCEA BUZAU,
8/24/2023,10:31,2.5,TRANSILVANIA BRASOV,
8/24/2023,0:31,2.1,ZONA SEISMICA VRANCEA VRANCEA,
8/21/2023,1:00,2.6,OLTENIA GORJ,
8/21/2023,0:39,4.7,OLTENIA GORJ,
8/20/2023,4:48,2.9,ZONA SEISMICA VRANCEA BUZAU,
8/19/2023,21:01,2.5,OLTENIA GORJ,
8/19/2023,19:20,3.7,BANAT CARAS-SEVERIN,
8/19/2023,2:56,2.3,ZONA SEISMICA VRANCEA VRANCEA,
8/17/2023,12:56,2.1,CRISANA ARAD,
8/16/2023,0:39,2.8,OLTENIA GORJ,
8/15/2023,5:03,3.5,ZONA SEISMICA VRANCEA BUZAU,
8/13/2023,7:27,2.6,ZONA SEISMICA VRANCEA VRANCEA,
8/12/2023,17:29,3.1,ZONA SEISMICA VRANCEA BUZAU,
8/12/2023,12:51,2.9,ZONA SEISMICA VRANCEA VRANCEA,
8/11/2023,23:40,2.4,MUNTENIA BRAILA,
8/11/2023,13:14,2.3,ZONA SEISMICA VRANCEA VRANCEA,
8/10/2023,22:54,2.4,OLTENIA GORJ,
8/5/2023,23:58,2,OLTENIA GORJ,
8/5/2023,22:28,2.4,OLTENIA GORJ,
8/5/2023,8:25,2.9,ZONA SEISMICA VRANCEA BUZAU,
8/4/2023,17:55,3.5,ZONA SEISMICA VRANCEA BUZAU,
8/2/2023,1:47,3,OLTENIA GORJ,
8/1/2023,10:41,3,ZONA SEISMICA VRANCEA VRANCEA,
7/30/2023,18:28,3.2,ZONA SEISMICA VRANCEA BUZAU,
7/30/2023,8:36,2.3,OLTENIA GORJ,
7/30/2023,7:20,4.1,ZONA SEISMICA VRANCEA VRANCEA,
7/30/2023,3:06,2.7,OLTENIA GORJ,
7/28/2023,0:44,2.6,MUNTENIA BUZAU,
7/26/2023,14:10,2,OLTENIA GORJ,
7/26/2023,13:49,3.1,ZONA SEISMICA VRANCEA VRANCEA,
7/22/2023,11:44,2.3,OLTENIA GORJ,
7/20/2023,13:01,2,TRANSILVANIA COVASNA,
7/20/2023,11:33,2.7,ZONA SEISMICA VRANCEA BUZAU,
7/19/2023,5:31,2,OLTENIA GORJ,
7/19/2023,1:47,2.6,MUNTENIA CALARASI,
7/18/2023,23:55,2.3,OLTENIA GORJ,
7/18/2023,23:33,2.7,OLTENIA GORJ,
7/18/2023,23:30,4.4,OLTENIA GORJ,
7/18/2023,12:55,2.2,OLTENIA GORJ,
7/15/2023,3:04,3,ZONA SEISMICA VRANCEA BUZAU,
7/12/2023,12:12,3.6,ZONA SEISMICA VRANCEA VRANCEA,
7/7/2023,19:20,2,OLTENIA GORJ,
7/7/2023,15:23,4.1,ZONA SEISMICA VRANCEA BUZAU,
7/4/2023,11:14,2.2,TRANSILVANIA BRASOV,
7/4/2023,3:40,2.3,OLTENIA GORJ,
7/3/2023,18:44,2,OLTENIA GORJ,
7/2/2023,3:01,3.4,ZONA SEISMICA VRANCEA VRANCEA,
7/1/2023,10:55,2.3,ZONA SEISMICA VRANCEA VRANCEA,
6/24/2023,22:06,2.7,ZONA SEISMICA VRANCEA VRANCEA,
6/24/2023,19:55,3,MUNTENIA BUZAU,
6/22/2023,11:20,2.1,OLTENIA GORJ,
6/22/2023,9:12,2,OLTENIA GORJ,
6/20/2023,5:34,2.7,DOBROGEA TULCEA,
6/20/2023,1:45,4.2,ZONA SEISMICA VRANCEA BUZAU,
6/19/2023,9:59,2,OLTENIA GORJ,
6/19/2023,8:59,2.8,OLTENIA GORJ,
6/19/2023,8:26,4.2,OLTENIA GORJ,
6/18/2023,18:26,3.1,MOLDOVA VASLUI,
6/17/2023,13:13,4.3,ZONA SEISMICA VRANCEA BUZAU,
6/11/2023,17:47,2.6,OLTENIA GORJ,
6/11/2023,15:45,2.2,OLTENIA GORJ,
6/11/2023,13:01,3.2,ZONA SEISMICA VRANCEA VRANCEA,
6/7/2023,9:27,2.2,CRISANA ARAD,
6/7/2023,8:57,2.8,CRISANA ARAD,
6/7/2023,4:45,2.8,ZONA SEISMICA VRANCEA BUZAU,
6/7/2023,3:56,2,CRISANA ARAD,
6/6/2023,21:04,3.2,CRISANA ARAD,
6/6/2023,21:02,2.1,CRISANA ARAD,
6/6/2023,20:26,5.2,CRISANA ARAD,
6/5/2023,0:09,2.7,ZONA SEISMICA VRANCEA VRANCEA,
6/3/2023,13:15,2.3,TRANSILVANIA HUNEDOARA,
6/2/2023,19:57,2.2,CRISANA ARAD,
6/1/2023,14:26,2,OLTENIA GORJ,
5/31/2023,13:10,3.5,ZONA SEISMICA VRANCEA VRANCEA,
5/31/2023,5:56,2.8,ZONA SEISMICA VRANCEA BUZAU,
5/31/2023,3:19,3.3,ZONA SEISMICA VRANCEA BUZAU,
5/31/2023,1:24,2.5,ZONA SEISMICA VRANCEA BUZAU,
5/30/2023,23:17,2.3,MOLDOVA GALATI,
5/30/2023,2:49,2.2,OLTENIA GORJ,
5/29/2023,20:24,2,OLTENIA GORJ,
5/29/2023,6:25,3.5,CRISANA ARAD,
5/28/2023,9:20,2.6,ZONA SEISMICA VRANCEA VRANCEA,
5/25/2023,18:47,3.3,ZONA SEISMICA VRANCEA VRANCEA,
5/24/2023,9:09,2.8,ZONA SEISMICA VRANCEA VRANCEA,
5/24/2023,0:42,3.2,CRISANA ARAD,
5/23/2023,23:32,2.6,CRISANA ARAD,
5/23/2023,23:30,2.4,CRISANA ARAD,
5/23/2023,23:25,2.1,CRISANA ARAD,
5/23/2023,19:15,4.3,BANAT ARAD,
5/23/2023,9:23,2,ZONA SEISMICA FAGARAS-CAMPULUNG ARGES,
5/23/2023,5:12,2.6,CRISANA ARAD,
5/23/2023,2:48,2,CRISANA ARAD,
5/23/2023,1:31,2.1,ZONA SEISMICA FAGARAS-CAMPULUNG DAMBOVITA,
5/23/2023,0:21,2.4,CRISANA ARAD,
5/22/2023,23:26,2,CRISANA ARAD,
5/22/2023,22:55,4.4,CRISANA ARAD,
5/22/2023,20:46,4.8,BANAT ARAD,
5/21/2023,15:22,2.1,OLTENIA GORJ,
5/20/2023,12:06,3.3,ZONA SEISMICA VRANCEA VRANCEA,
5/20/2023,10:36,4,ZONA SEISMICA VRANCEA BUZAU,
5/20/2023,4:27,2.5,OLTENIA GORJ,
5/17/2023,23:23,2.3,ZONA SEISMICA VRANCEA VRANCEA,
5/17/2023,4:26,2.7,OLTENIA GORJ,
5/16/2023,15:35,2.3,OLTENIA GORJ,
5/15/2023,22:17,2.5,OLTENIA GORJ,
5/15/2023,22:10,2,OLTENIA GORJ,
5/15/2023,0:34,3.7,ZONA SEISMICA VRANCEA VRANCEA,
5/14/2023,12:03,2,OLTENIA GORJ,
5/14/2023,3:22,2.3,OLTENIA GORJ,
5/13/2023,19:03,2.7,ZONA SEISMICA VRANCEA VRANCEA,
5/13/2023,8:35,2.6,TRANSILVANIA COVASNA,
5/11/2023,18:24,2.5,OLTENIA GORJ,
5/10/2023,0:04,2.6,ZONA SEISMICA VRANCEA BUZAU,
5/9/2023,0:36,2.9,OLTENIA GORJ,
5/9/2023,0:33,2.9,OLTENIA GORJ,
5/8/2023,22:35,2.7,ZONA SEISMICA VRANCEA BUZAU,
5/7/2023,9:05,2,ZONA SEISMICA VRANCEA VRANCEA,
5/7/2023,7:33,2.7,OLTENIA GORJ,
5/5/2023,4:21,2.6,ZONA SEISMICA VRANCEA VRANCEA,
5/5/2023,1:03,2.7,MUNTENIA PRAHOVA,
5/3/2023,5:21,2,OLTENIA GORJ,
4/29/2023,21:37,3.3,ZONA SEISMICA VRANCEA VRANCEA,
4/29/2023,4:57,2.2,OLTENIA GORJ,
4/28/2023,6:13,3.6,ZONA SEISMICA VRANCEA BUZAU,
4/27/2023,17:20,2.1,OLTENIA GORJ,
4/26/2023,17:07,2.7,ZONA SEISMICA VRANCEA BUZAU,
4/26/2023,4:48,2.1,ZONA SEISMICA VRANCEA VRANCEA,
4/23/2023,23:57,2.5,ZONA SEISMICA VRANCEA VRANCEA,
4/23/2023,22:12,2.9,ZONA SEISMICA VRANCEA BUZAU,
4/22/2023,13:31,2.1,OLTENIA GORJ,
4/22/2023,10:23,2.7,OLTENIA GORJ,
4/22/2023,10:10,2.8,OLTENIA GORJ,
4/22/2023,10:06,3.4,OLTENIA GORJ,
4/22/2023,6:02,2.3,OLTENIA GORJ,
4/22/2023,1:08,2.5,ZONA SEISMICA VRANCEA VRANCEA,
4/20/2023,20:10,2.7,ZONA SEISMICA VRANCEA BUZAU,
4/15/2023,21:47,3.1,ZONA SEISMICA VRANCEA BUZAU,
4/13/2023,17:22,2.6,OLTENIA GORJ,
4/12/2023,7:16,3.4,ZONA SEISMICA VRANCEA VRANCEA,
4/11/2023,5:05,3.1,ZONA SEISMICA VRANCEA VRANCEA,
4/11/2023,2:34,3.3,ZONA SEISMICA VRANCEA VRANCEA,
4/9/2023,19:47,3,ZONA SEISMICA VRANCEA BUZAU,
4/9/2023,18:01,2.7,ZONA SEISMICA VRANCEA VRANCEA,
4/9/2023,12:04,3.3,ZONA SEISMICA VRANCEA BUZAU,
4/8/2023,14:22,3.2,ZONA SEISMICA VRANCEA VRANCEA,
4/7/2023,3:33,3,ZONA SEISMICA VRANCEA VRANCEA,
4/6/2023,6:38,2.7,OLTENIA GORJ,
4/4/2023,13:19,2.2,OLTENIA GORJ,
4/4/2023,5:46,2,OLTENIA GORJ,
4/3/2023,20:34,2.2,OLTENIA GORJ,
4/3/2023,16:20,2.6,OLTENIA GORJ,
3/31/2023,7:56,2.3,OLTENIA GORJ,
3/30/2023,16:34,2.5,OLTENIA GORJ,
3/30/2023,10:13,2,OLTENIA GORJ,
3/29/2023,19:09,3.9,ZONA SEISMICA VRANCEA BUZAU,
3/29/2023,16:48,2.9,OLTENIA GORJ,
3/27/2023,1:42,2.2,ZONA SEISMICA VRANCEA VRANCEA,
3/26/2023,4:20,3.1,ZONA SEISMICA VRANCEA BUZAU,
3/26/2023,4:18,2.1,OLTENIA GORJ,
3/26/2023,1:32,3.9,ZONA SEISMICA VRANCEA BUZAU,
3/25/2023,21:27,2.4,OLTENIA GORJ,
3/24/2023,5:41,2.3,OLTENIA GORJ,
3/24/2023,1:57,2,OLTENIA GORJ,
3/24/2023,1:01,2.4,OLTENIA GORJ,
3/23/2023,18:16,2.7,ZONA SEISMICA VRANCEA BUZAU,
3/23/2023,5:24,2,OLTENIA GORJ,
3/23/2023,2:08,2.4,OLTENIA GORJ,
3/22/2023,11:12,2.7,ZONA SEISMICA VRANCEA BUZAU,
3/22/2023,6:51,3.8,ZONA SEISMICA VRANCEA BUZAU,
3/22/2023,1:08,2.1,OLTENIA GORJ,
3/21/2023,19:30,2.6,ZONA SEISMICA VRANCEA VRANCEA,
3/21/2023,18:38,2.8,OLTENIA GORJ,
3/21/2023,17:06,2.9,OLTENIA GORJ,
3/21/2023,14:14,2.1,OLTENIA GORJ,
3/21/2023,10:17,2.7,OLTENIA GORJ,
3/21/2023,1:34,2.5,OLTENIA GORJ,
3/20/2023,23:49,3.8,ZONA SEISMICA VRANCEA BUZAU,
3/20/2023,19:39,2.1,OLTENIA GORJ,
3/20/2023,17:17,2.6,OLTENIA GORJ,
3/20/2023,16:20,2,OLTENIA GORJ,
3/20/2023,16:02,5,OLTENIA GORJ,
3/20/2023,11:42,2.6,ZONA SEISMICA VRANCEA BUZAU,
3/20/2023,1:16,2.4,ZONA SEISMICA VRANCEA COVASNA,
3/19/2023,7:45,2.5,ZONA SEISMICA VRANCEA VRANCEA,
3/18/2023,18:24,2.1,OLTENIA GORJ,
3/18/2023,3:32,2.2,OLTENIA GORJ,
3/17/2023,19:00,2.1,OLTENIA GORJ,
3/17/2023,16:17,3.6,OLTENIA GORJ,
3/16/2023,8:27,2.3,OLTENIA GORJ,
3/16/2023,2:44,2,OLTENIA GORJ,
3/15/2023,21:41,2,OLTENIA GORJ,
3/15/2023,19:33,3.3,OLTENIA GORJ,
3/15/2023,7:22,3.2,ZONA SEISMICA VRANCEA VRANCEA,
3/14/2023,20:34,3.1,OLTENIA GORJ,
3/14/2023,15:29,2.2,OLTENIA GORJ,
3/14/2023,13:53,2.5,OLTENIA GORJ,
3/13/2023,10:09,2.3,OLTENIA GORJ,
3/12/2023,21:12,2.5,OLTENIA GORJ,
3/12/2023,19:44,4.2,ZONA SEISMICA VRANCEA BUZAU,
3/12/2023,14:15,3.6,OLTENIA GORJ,
3/12/2023,13:49,3.4,ZONA SEISMICA VRANCEA BUZAU,
3/11/2023,22:12,2.2,OLTENIA GORJ,
3/11/2023,19:51,2.6,OLTENIA GORJ,
3/11/2023,17:53,3.3,ZONA SEISMICA VRANCEA VRANCEA,
3/11/2023,16:17,3.5,OLTENIA GORJ,
3/11/2023,15:28,2.5,OLTENIA GORJ,
3/11/2023,15:25,2.4,OLTENIA GORJ,
3/11/2023,14:09,4.2,ZONA SEISMICA VRANCEA BUZAU,
3/10/2023,19:39,2.8,OLTENIA GORJ,
3/9/2023,22:29,2,OLTENIA GORJ,
3/9/2023,20:45,2,OLTENIA GORJ,
3/9/2023,16:28,2.7,OLTENIA GORJ,
3/9/2023,16:27,2,OLTENIA GORJ,
3/8/2023,18:04,2.1,OLTENIA GORJ,
3/7/2023,15:06,2.2,OLTENIA GORJ,
3/7/2023,10:52,2.5,OLTENIA GORJ,
3/7/2023,8:41,2.1,OLTENIA GORJ,
3/7/2023,6:42,2.1,OLTENIA GORJ,
3/6/2023,21:35,2,OLTENIA GORJ,
3/6/2023,21:17,3.4,ZONA SEISMICA VRANCEA BUZAU,
3/6/2023,12:34,3.5,ZONA SEISMICA VRANCEA BUZAU,
3/5/2023,23:21,2.3,OLTENIA GORJ,
3/5/2023,18:17,2,OLTENIA GORJ,
3/5/2023,17:04,2.8,OLTENIA GORJ,
3/5/2023,3:43,2.6,OLTENIA GORJ,
3/5/2023,0:55,3.8,OLTENIA GORJ,
3/4/2023,19:16,2.9,ZONA SEISMICA FAGARAS-CAMPULUNG DAMBOVITA,
3/4/2023,13:00,2,OLTENIA GORJ,
3/4/2023,8:18,3,ZONA SEISMICA VRANCEA COVASNA,
3/4/2023,3:25,2.3,OLTENIA GORJ,
3/3/2023,21:51,2.2,OLTENIA GORJ,
3/3/2023,21:08,2.2,OLTENIA GORJ,
3/3/2023,12:34,3.3,ZONA SEISMICA VRANCEA BUZAU,
3/2/2023,11:55,2.3,OLTENIA GORJ,
3/1/2023,13:15,2.9,ZONA SEISMICA VRANCEA VRANCEA,
2/28/2023,18:42,2.8,MOLDOVA VASLUI,
2/28/2023,10:07,2.8,OLTENIA GORJ,
2/28/2023,5:55,3.2,OLTENIA GORJ,
2/27/2023,10:58,2.1,OLTENIA GORJ,
2/27/2023,8:27,2.6,OLTENIA GORJ,
2/27/2023,2:17,2,OLTENIA GORJ,
2/27/2023,2:00,2.5,OLTENIA GORJ,
2/26/2023,22:36,2.7,ZONA SEISMICA VRANCEA BUZAU,
2/26/2023,15:11,3,MUNTENIA BRAILA,
2/26/2023,5:39,2.3,OLTENIA GORJ,
2/25/2023,20:29,2.2,OLTENIA GORJ,
2/25/2023,0:33,2.3,OLTENIA GORJ,
2/24/2023,19:55,2.5,OLTENIA GORJ,
2/24/2023,18:18,2,OLTENIA GORJ,
2/24/2023,17:26,2.1,OLTENIA GORJ,
2/24/2023,7:20,2,OLTENIA GORJ,
2/23/2023,20:38,2.5,OLTENIA GORJ,
2/23/2023,13:40,2.1,OLTENIA GORJ,
2/23/2023,11:44,2.1,CRISANA ARAD,
2/23/2023,11:24,2.2,OLTENIA GORJ,
2/23/2023,6:22,2,OLTENIA GORJ,
2/23/2023,2:31,2,OLTENIA GORJ,
2/23/2023,2:18,3.9,OLTENIA GORJ,
2/22/2023,18:51,2.1,OLTENIA GORJ,
2/22/2023,16:37,3.6,BANAT TIMIS,
2/22/2023,11:24,2.4,OLTENIA GORJ,
2/22/2023,9:08,2.5,ZONA SEISMICA VRANCEA BUZAU,
2/22/2023,8:25,4,OLTENIA GORJ,
2/22/2023,2:25,2.2,OLTENIA GORJ,
2/21/2023,5:47,2.2,OLTENIA GORJ,
2/21/2023,5:19,2.3,OLTENIA GORJ,
2/20/2023,19:36,2.2,OLTENIA GORJ,
2/20/2023,16:01,2.1,OLTENIA GORJ,
2/20/2023,14:33,2.3,OLTENIA GORJ,
2/20/2023,13:23,3,OLTENIA GORJ,
2/20/2023,7:46,2,OLTENIA GORJ,
2/19/2023,23:23,2,OLTENIA GORJ,
2/19/2023,22:21,2.6,OLTENIA GORJ,
2/19/2023,16:47,2.2,MUNTENIA BRAILA,
2/19/2023,13:57,3.1,OLTENIA GORJ,
2/19/2023,13:54,3.5,OLTENIA GORJ,
2/19/2023,13:00,2,OLTENIA GORJ,
2/19/2023,10:56,2.1,OLTENIA GORJ,
2/19/2023,10:09,2.3,OLTENIA GORJ,
2/19/2023,8:11,2.6,OLTENIA GORJ,
2/19/2023,7:58,2.9,OLTENIA GORJ,
2/19/2023,7:18,2.1,OLTENIA GORJ,
2/19/2023,6:54,2.3,OLTENIA GORJ,
2/19/2023,5:59,2.3,OLTENIA GORJ,
2/19/2023,0:47,2.1,OLTENIA GORJ,
2/18/2023,22:40,2.3,OLTENIA GORJ,
2/18/2023,21:17,2.9,OLTENIA GORJ,
2/18/2023,21:08,2.4,OLTENIA GORJ,
2/18/2023,18:05,3.6,OLTENIA GORJ,
2/18/2023,18:04,3.8,OLTENIA GORJ,
2/18/2023,16:07,2.4,OLTENIA GORJ,
2/18/2023,11:54,2.1,OLTENIA GORJ,
2/18/2023,10:30,2.8,OLTENIA GORJ,
2/18/2023,9:51,2.7,OLTENIA GORJ,
2/18/2023,8:59,2.8,OLTENIA GORJ,
2/18/2023,6:44,2,OLTENIA GORJ,
2/18/2023,5:03,2.4,OLTENIA GORJ,
2/18/2023,4:34,2.9,OLTENIA GORJ,
2/18/2023,3:31,2.2,OLTENIA GORJ,
2/18/2023,3:22,2,OLTENIA GORJ,
2/18/2023,2:40,2.4,OLTENIA GORJ,
2/18/2023,1:45,2.4,OLTENIA GORJ,
2/18/2023,0:20,2,OLTENIA GORJ,
2/17/2023,21:01,2.3,OLTENIA GORJ,
2/17/2023,18:10,2.2,OLTENIA GORJ,
2/17/2023,16:23,2.2,OLTENIA GORJ,
2/17/2023,14:43,3.1,OLTENIA GORJ,
2/17/2023,11:11,4.3,OLTENIA GORJ,
2/17/2023,8:53,2,OLTENIA GORJ,
2/17/2023,7:08,2.3,OLTENIA GORJ,
2/17/2023,0:18,2.9,OLTENIA GORJ,
2/16/2023,23:55,2.5,OLTENIA GORJ,
2/16/2023,22:56,3.1,OLTENIA GORJ,
2/16/2023,22:07,2,OLTENIA GORJ,
2/16/2023,21:54,2.9,OLTENIA GORJ,
2/16/2023,18:24,2.2,OLTENIA GORJ,
2/16/2023,15:54,2.6,OLTENIA GORJ,
2/16/2023,14:38,2.5,OLTENIA GORJ,
2/16/2023,13:00,2.3,OLTENIA GORJ,
2/16/2023,12:27,2.2,OLTENIA GORJ,
2/16/2023,8:21,2.7,OLTENIA GORJ,
2/16/2023,7:55,2.2,OLTENIA GORJ,
2/16/2023,4:29,3.4,OLTENIA GORJ,
2/16/2023,3:07,4.2,OLTENIA GORJ,
2/16/2023,2:14,2.6,OLTENIA GORJ,
2/16/2023,1:29,2.1,OLTENIA GORJ,
2/16/2023,1:20,2.3,OLTENIA GORJ,
2/15/2023,23:38,2,OLTENIA GORJ,
2/15/2023,23:31,3.3,OLTENIA GORJ,
2/15/2023,23:28,3.9,OLTENIA GORJ,
2/15/2023,23:13,2.2,OLTENIA GORJ,
2/15/2023,22:02,2.2,OLTENIA GORJ,
2/15/2023,21:23,2.9,OLTENIA GORJ,
2/15/2023,21:02,3.2,OLTENIA GORJ,
2/15/2023,20:20,2,OLTENIA GORJ,
2/15/2023,18:51,2.6,OLTENIA GORJ,
2/15/2023,16:17,2,OLTENIA GORJ,
2/15/2023,15:02,2.5,OLTENIA GORJ,
2/15/2023,14:46,2.1,OLTENIA GORJ,
2/15/2023,14:15,2,OLTENIA GORJ,
2/15/2023,10:22,2,OLTENIA GORJ,
2/15/2023,8:26,2.2,OLTENIA GORJ,
2/15/2023,8:08,2.2,OLTENIA GORJ,
2/15/2023,5:28,2.2,OLTENIA GORJ,
2/15/2023,4:19,2.1,OLTENIA GORJ,
2/15/2023,4:15,2.1,OLTENIA GORJ,
2/15/2023,4:04,2.9,OLTENIA GORJ,
2/15/2023,3:56,2.2,OLTENIA GORJ,
2/15/2023,3:01,2.5,OLTENIA GORJ,
2/15/2023,2:30,3.3,OLTENIA GORJ,
2/15/2023,2:21,2,OLTENIA GORJ,
2/15/2023,2:16,2.2,OLTENIA GORJ,
2/15/2023,2:09,2.7,OLTENIA GORJ,
2/15/2023,1:40,2.5,OLTENIA GORJ,
2/15/2023,1:30,2.4,OLTENIA GORJ,
2/15/2023,1:28,2,OLTENIA GORJ,
2/15/2023,1:17,2.1,OLTENIA GORJ,
2/15/2023,0:38,2.4,OLTENIA GORJ,
2/15/2023,0:34,2.5,OLTENIA GORJ,
2/15/2023,0:25,2.6,OLTENIA GORJ,
2/15/2023,0:14,2,OLTENIA GORJ,
2/14/2023,23:51,3,OLTENIA GORJ,
2/14/2023,23:26,2.4,OLTENIA GORJ,
2/14/2023,23:19,2,OLTENIA GORJ,
2/14/2023,22:40,3.1,OLTENIA GORJ,
2/14/2023,22:32,3.7,OLTENIA GORJ,
2/14/2023,22:15,2.3,OLTENIA GORJ,
2/14/2023,22:09,2.1,OLTENIA GORJ,
2/14/2023,21:46,2.3,OLTENIA GORJ,
2/14/2023,21:34,2.1,OLTENIA GORJ,
2/14/2023,21:26,2,OLTENIA GORJ,
2/14/2023,21:24,2.1,OLTENIA GORJ,
2/14/2023,21:14,2.5,OLTENIA GORJ,
2/14/2023,20:44,2.2,OLTENIA GORJ,
2/14/2023,20:42,2.8,OLTENIA GORJ,
2/14/2023,20:09,2.6,OLTENIA GORJ,
2/14/2023,20:04,2.3,OLTENIA GORJ,
2/14/2023,20:02,2.6,OLTENIA GORJ,
2/14/2023,19:59,3.4,OLTENIA GORJ,
2/14/2023,19:50,2,OLTENIA GORJ,
2/14/2023,19:34,2.4,OLTENIA GORJ,
2/14/2023,19:29,2,OLTENIA GORJ,
2/14/2023,19:24,2.3,OLTENIA GORJ,
2/14/2023,19:17,2.3,OLTENIA GORJ,
2/14/2023,19:08,2,OLTENIA GORJ,
2/14/2023,19:07,2,OLTENIA GORJ,
2/14/2023,18:52,2,OLTENIA GORJ,
2/14/2023,18:23,2.4,OLTENIA GORJ,
2/14/2023,18:12,2,OLTENIA GORJ,
2/14/2023,18:05,2.9,OLTENIA GORJ,
2/14/2023,18:04,2.1,OLTENIA GORJ,
2/14/2023,17:59,2.2,OLTENIA GORJ,
2/14/2023,17:47,3.8,OLTENIA GORJ,
2/14/2023,17:34,2.2,OLTENIA GORJ,
2/14/2023,17:24,4.2,OLTENIA GORJ,
2/14/2023,17:12,2.8,OLTENIA GORJ,
2/14/2023,17:08,2,OLTENIA GORJ,
2/14/2023,17:04,2.3,OLTENIA GORJ,
2/14/2023,17:01,2.2,OLTENIA GORJ,
2/14/2023,16:48,2.2,OLTENIA GORJ,
2/14/2023,16:45,2.2,OLTENIA GORJ,
2/14/2023,16:42,2,OLTENIA GORJ,
2/14/2023,16:34,2.9,OLTENIA GORJ,
2/14/2023,16:34,2,OLTENIA GORJ,
2/14/2023,16:33,2.3,OLTENIA GORJ,
2/14/2023,16:30,2,OLTENIA GORJ,
2/14/2023,16:25,2.8,OLTENIA GORJ,
2/14/2023,16:21,2,OLTENIA GORJ,
2/14/2023,16:17,2,OLTENIA GORJ,
2/14/2023,16:10,2.1,OLTENIA GORJ,
2/14/2023,16:09,2,OLTENIA GORJ,
2/14/2023,16:03,2.3,OLTENIA GORJ,
2/14/2023,16:03,2.2,OLTENIA GORJ,
2/14/2023,16:02,2.3,OLTENIA GORJ,
2/14/2023,16:00,2.8,OLTENIA GORJ,
2/14/2023,15:57,2.4,OLTENIA GORJ,
2/14/2023,15:54,2,OLTENIA GORJ,
2/14/2023,15:48,2.1,OLTENIA GORJ,
2/14/2023,15:44,2.1,OLTENIA GORJ,
2/14/2023,15:40,2.6,OLTENIA GORJ,
2/14/2023,15:29,3.4,OLTENIA GORJ,
2/14/2023,15:28,2.7,OLTENIA GORJ,
2/14/2023,15:26,3.7,OLTENIA GORJ,
2/14/2023,15:21,3.7,OLTENIA GORJ,
2/14/2023,15:16,5.7,OLTENIA GORJ,
2/14/2023,12:35,2,OLTENIA GORJ,
2/13/2023,17:50,3.4,OLTENIA GORJ,
2/13/2023,17:21,2.8,OLTENIA GORJ,
2/13/2023,17:16,2.1,OLTENIA GORJ,
2/13/2023,17:13,2.4,OLTENIA GORJ,
2/13/2023,16:58,5.2,OLTENIA GORJ,
2/13/2023,4:33,2.9,ZONA SEISMICA VRANCEA VRANCEA,
2/10/2023,6:32,2.9,ZONA SEISMICA VRANCEA VRANCEA,
2/9/2023,12:36,2,DOBROGEA CONSTANTA,
2/9/2023,1:34,2,ZONA SEISMICA FAGARAS-CAMPULUNG VALCEA,
2/8/2023,15:22,2.6,ZONA SEISMICA VRANCEA VRANCEA,
2/7/2023,10:51,3.5,ZONA SEISMICA VRANCEA BUZAU,
2/6/2023,5:26,2.2,ZONA SEISMICA VRANCEA BUZAU,
2/6/2023,5:01,2.7,ZONA SEISMICA VRANCEA BUZAU,
2/6/2023,4:13,2.9,ZONA SEISMICA VRANCEA BUZAU,
